OrderID,Region,Category,Quantity,Revenue,Profit
1,North,Electronics,120,45000,9000
2,North,Furniture,80,32000,7000
3,North,Electronics,140,52000,11000
4,North,Furniture,75,30000,6500
5,North,Electronics,130,48000,10000
6,South,Electronics,90,35000,6500
7,South,Furniture,70,28000,6000
8,South,Electronics,95,37000,6800
9,South,Furniture,65,26000,5500
10,South,Electronics,100,39000,7200
11,East,Electronics,110,41000,7800
12,East,Furniture,85,34000,7300
13,East,Electronics,115,43000,8000
14,East,Furniture,90,36000,7600
15,East,Electronics,105,40000,7500
16,West,Electronics,60,24000,4000
17,West,Furniture,55,22000,4500
18,West,Electronics,65,26000,4300
19,West,Furniture,50,20000,4200
20,West,Electronics,180,90000,12000
